BIRTH_YEAR,COUNTY_ORIGIN,BIRTH_MONTH,CALF_BREED_TYPE,TOTAL_BIRTH
2016,MAYO,NOV,DAIRY,264
2016,MAYO,OCT,BEEF,2021
2016,MAYO,OCT,DAIRY,231
2016,MAYO,SEP,BEEF,2263
2016,MAYO,SEP,DAIRY,154
2016,MEATH,APR,BEEF,9463
2016,MEATH,APR,DAIRY,2869
2016,MEATH,AUG,BEEF,2017
2016,MEATH,AUG,DAIRY,549
2016,MEATH,DEC,BEEF,1209
2016,MEATH,DEC,DAIRY,908
2016,MEATH,FEB,BEEF,5167
2016,MEATH,FEB,DAIRY,10208
2016,MEATH,JAN,BEEF,2184
2016,MEATH,JAN,DAIRY,3597
2016,MEATH,JUL,BEEF,2388
2016,MEATH,JUL,DAIRY,395
2016,MEATH,JUN,BEEF,3025
2016,MEATH,JUN,DAIRY,678
2016,MEATH,MAR,BEEF,9535
2016,MEATH,MAR,DAIRY,6092
2016,MEATH,MAY,BEEF,6038
2016,MEATH,MAY,DAIRY,1314
2016,MEATH,NOV,BEEF,1861
2016,MEATH,NOV,DAIRY,1670
2016,MEATH,OCT,BEEF,2076
2016,MEATH,OCT,DAIRY,2831
2016,MEATH,SEP,BEEF,2343
2016,MEATH,SEP,DAIRY,2209
2016,MONAGHAN,APR,BEEF,8607
2016,MONAGHAN,APR,DAIRY,2000
2016,MONAGHAN,AUG,BEEF,2034
2016,MONAGHAN,AUG,DAIRY,313
2016,MONAGHAN,DEC,BEEF,1424
2016,MONAGHAN,DEC,DAIRY,949
2016,MONAGHAN,FEB,BEEF,4903
2016,MONAGHAN,FEB,DAIRY,5653
2016,MONAGHAN,JAN,BEEF,2908
2016,MONAGHAN,JAN,DAIRY,2874
2016,MONAGHAN,JUL,BEEF,2447
2016,MONAGHAN,JUL,DAIRY,422
2016,MONAGHAN,JUN,BEEF,3504
2016,MONAGHAN,JUN,DAIRY,782
2016,MONAGHAN,MAR,BEEF,8150
2016,MONAGHAN,MAR,DAIRY,4012
2016,MONAGHAN,MAY,BEEF,6283
2016,MONAGHAN,MAY,DAIRY,1274
2016,MONAGHAN,NOV,BEEF,1543
2016,MONAGHAN,NOV,DAIRY,973
2016,MONAGHAN,OCT,BEEF,1510
2016,MONAGHAN,OCT,DAIRY,871
2016,MONAGHAN,SEP,BEEF,1807
2016,MONAGHAN,SEP,DAIRY,552
2016,OFFALY,APR,BEEF,7270
2016,OFFALY,APR,DAIRY,1059
2016,OFFALY,AUG,BEEF,1997
2016,OFFALY,AUG,DAIRY,70
2016,OFFALY,DEC,BEEF,1136
2016,OFFALY,DEC,DAIRY,215
2016,OFFALY,FEB,BEEF,5096
2016,OFFALY,FEB,DAIRY,7446
2016,OFFALY,JAN,BEEF,2165
2016,OFFALY,JAN,DAIRY,2024
2016,OFFALY,JUL,BEEF,2008
2016,OFFALY,JUL,DAIRY,98
2016,OFFALY,JUN,BEEF,2639
2016,OFFALY,JUN,DAIRY,212
2016,OFFALY,MAR,BEEF,8618
2016,OFFALY,MAR,DAIRY,2909
2016,OFFALY,MAY,BEEF,4665
2016,OFFALY,MAY,DAIRY,435
2016,OFFALY,NOV,BEEF,1363
2016,OFFALY,NOV,DAIRY,287
2016,OFFALY,OCT,BEEF,1834
2016,OFFALY,OCT,DAIRY,403
2016,OFFALY,SEP,BEEF,2062
2016,OFFALY,SEP,DAIRY,220
2016,ROSCOMMON,APR,BEEF,11501
